Engine_volume,Mileage,Doors,Prod_year,Cylinders,Airbags,Category,Leather_interior,Fuel_type,Gear_box_type,Drive_wheels,Wheel,Color
1.3,139000,4,2010,4.0,6,Hatchback,No,Petrol,Automatic,Front,Right-hand drive,Black
2.0,52019,4,2016,4.0,10,Jeep,No,Petrol,Automatic,4x4,Left wheel,White
1.8,268800,4,2011,4.0,6,Hatchback,Yes,Petrol,Variator,Front,Left wheel,Silver
1.8,165000,4,2010,4.0,12,Sedan,No,Hybrid,Automatic,Front,Left wheel,Black
3.5,171531,4,2005,6.0,6,Jeep,Yes,Petrol,Tiptronic,4x4,Left wheel,White
3.2,1000,4,2012,6.0,4,Microbus,Yes,Diesel,Manual,Rear,Left wheel,White
1.5,222222,4,2004,4.0,2,Hatchback,Yes,Petrol,Variator,Front,Right-hand drive,Silver
2.0,150000,4,2015,4.0,4,Sedan,Yes,LPG,Automatic,Front,Left wheel,Orange
5.5,101424,4,2014,8.0,12,Sedan,Yes,Diesel,Automatic,4x4,Left wheel,Grey
1.6,166013,4,2013,4.0,0,Jeep,Yes,Petrol,Automatic,Front,Left wheel,White
1.6,155000,4,2008,4.0,2,Hatchback,No,Petrol,Automatic,Front,Left wheel,White
2.0,48000,4,2015,4.0,8,Jeep,Yes,Petrol,Tiptronic,4x4,Left wheel,Black
2.4,140885,4,2014,4.0,12,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Silver
2.0,150000,4,2015,4.0,4,Sedan,Yes,LPG,Automatic,Front,Left wheel,Orange
1.4,110958,4,2014,4.0,0,Hatchback,Yes,Hybrid,Automatic,Front,Left wheel,Black
2.5,240000,2,2000,6.0,0,Coupe,Yes,Petrol,Tiptronic,Rear,Left wheel,Silver
2.0,88651,4,2012,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,White
2.5,196682,4,2009,4.0,0,Jeep,Yes,Hybrid,Automatic,Front,Left wheel,Black
2.0,74146,4,2018,4.0,12,Jeep,Yes,Petrol,Automatic,Front,Left wheel,White
1.6,39000,4,2017,4.0,4,Jeep,No,Petrol,Manual,Front,Left wheel,Grey
1.6,38254,4,2009,4.0,4,Sedan,Yes,Diesel,Automatic,Front,Left wheel,Grey
3.5,39300,4,2015,6.0,12,Jeep,Yes,Petrol,Tiptronic,4x4,Left wheel,Black
5.5,17584,4,2016,8.0,0,Jeep,Yes,Petrol,Automatic,4x4,Left wheel,Black
3.0,232554,4,2011,6.0,0,Sedan,Yes,Diesel,Automatic,4x4,Left wheel,Silver
2.0,20000,4,2002,4.0,6,Sedan,No,Petrol,Manual,Front,Left wheel,Black
2.3,30475,4,2018,4.0,4,Jeep,Yes,Petrol,Automatic,Front,Left wheel,Grey
1.8,156800,4,2012,4.0,12,Sedan,Yes,Petrol,Automatic,Rear,Left wheel,White
1.8,99040,4,2014,4.0,8,Hatchback,No,Hybrid,Variator,Front,Left wheel,White
